Wall time,Step,Value
1706007774.4982376,1,-105.78717803955078
1706007774.8634834,2,-273.42266845703125
1706007775.060616,3,-390.8251037597656
1706007775.1978948,4,-471.0079650878906
1706007775.317417,5,-256.97174072265625
1706007775.4286103,6,-424.1555480957031
1706007775.8077903,7,-342.6175842285156
1706007775.9158485,8,-313.9134826660156
1706007776.3483248,9,-386.2632751464844
1706007776.5005376,10,-376.26483154296875
1706007776.6116805,11,-215.0102996826172
1706007776.7104833,12,-160.8277130126953
1706007776.9296792,13,-276.33251953125
1706007777.2162423,14,-200.49977111816406
1706007777.3904243,15,-228.53189086914062
1706007778.8560057,16,-153.03408813476562
1706007779.717981,17,-186.83282470703125
1706007780.2013838,18,-136.25462341308594
1706007780.4631853,19,-85.6366195678711
1706007780.8480742,20,-119.43608856201172
1706007780.9601061,21,-203.79324340820312
1706007781.2393281,22,-175.39894104003906
1706007781.3342888,23,-237.99171447753906
1706007781.4435928,24,-113.05768585205078
1706007781.5475724,25,-115.72810363769531
1706007781.6467907,26,-93.6349105834961
1706007781.837082,27,-181.57598876953125
1706007781.9428403,28,-123.83740234375
1706007782.107259,29,-111.99082946777344
1706007782.2330217,30,-128.28639221191406
1706007782.3634005,31,-111.76228332519531
1706007782.4924016,32,-133.65086364746094
1706007782.7092729,33,-115.98346710205078
1706007782.9862406,34,-115.67282104492188
1706007783.1711893,35,-162.1256866455078
1706007783.3770902,36,-148.16270446777344
1706007783.6050298,37,-126.43134307861328
1706007783.7831814,38,-112.30223846435547
1706007783.948672,39,-137.59202575683594
1706007784.0541615,40,-115.178955078125
1706007784.4113562,41,-117.2117919921875
1706007784.6776335,43,-116.55343627929688
1706007784.79606,44,-106.73613739013672
1706007784.9224062,45,-41.3841667175293
1706007785.0218446,46,-146.1412353515625
1706007785.1803787,47,-154.55831909179688
1706007785.3588028,48,-144.4486846923828
1706007786.1607118,49,-107.1996078491211
1706007786.2575376,50,-144.09072875976562
1706007786.437698,51,-119.46780395507812
1706007786.6478393,52,-164.4830322265625
1706007786.8078375,53,-128.9875946044922
1706007786.9537115,54,-127.48167419433594
1706007787.2130432,55,-123.54524230957031
1706007787.2966206,56,-98.95367431640625
1706007787.4712734,57,-124.17363739013672
1706007787.5995245,58,-125.88601684570312
